class,detections,files,jpg_files,jpg_size,aspect_ratio,max_areas,bbox_area,bbox_centroid,bbox_x1,bbox_y1,bbox_x2,bbox_y2,times,hours
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755775421506_area_56_80.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755775421506_area_56_80.jpg,"[1920, 1080]",1.7777777777777777,56.0,[108.0],"[(294.0, 371.49948)]",[288.0],[366.99948],[300.0],[375.99948],2025-08-21 07:23:41.506000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755775421691_area_95_81.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755775421691_area_95_81.jpg,"[1920, 1080]",1.7777777777777777,95.0,[168.0],"[(408.0, 355.00032)]",[401.0],[349.00032],[415.0],[361.00032],2025-08-21 07:23:41.691000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755775421871_area_103_82.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755775421871_area_103_82.jpg,"[1920, 1080]",1.7777777777777777,103.0,[196.0],"[(518.00064, 347.99976000000004)]",[511.00064],[340.99976000000004],[525.00064],[354.99976000000004],2025-08-21 07:23:41.871000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755775422078_area_129_83.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755775422078_area_129_83.jpg,"[1920, 1080]",1.7777777777777777,129.0,[221.0],"[(791.5008, 357.50052)]",[785.0008],[349.00052],[798.0008],[366.00052],2025-08-21 07:23:42.078000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776380926_area_186_12.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776380926_area_186_12.jpg,"[1920, 1080]",1.7777777777777777,186.0,[289.0],"[(296.49984, 1006.49952)]",[287.99984],[997.99952],[304.99984],[1014.99952],2025-08-21 07:39:40.926000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776447078_area_133_14.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776447078_area_133_14.jpg,"[1920, 1080]",1.7777777777777777,133.0,[320.0],"[(580.99968, 1009.9998)]",[570.99968],[1001.9998],[590.99968],[1017.9998],2025-08-21 07:40:47.078000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776519086_area_3384_27.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776519086_area_3384_27.jpg,"[1920, 1080]",1.7777777777777777,3384.0,[7776.0],"[(841.00032, 284.50007999999997)]",[793.00032],[244.00007999999997],[889.00032],[325.00007999999997],2025-08-21 07:41:59.086000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776519220_area_1873_28.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776519220_area_1873_28.jpg,"[1920, 1080]",1.7777777777777777,1873.0,[4958.0],"[(443.5008, 419.00004)]",[410.0008],[382.00004],[477.0008],[456.00004],2025-08-21 07:41:59.220000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776880735_area_36_50.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776880735_area_36_50.jpg,"[1920, 1080]",1.7777777777777777,36.0,[45.0],"[(872.4998400000001, 654.5005199999999)]",[867.9998400000001],[652.0005199999999],[876.9998400000001],[657.0005199999999],2025-08-21 07:48:00.735000-04:00,7
bird,1,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\labels\detect_1755776948015_area_98_54.txt,C:\Users\anamk\projects\dataSets\sandbox_copy\og_sandbox\yolo_bird_data\train\images\detect_1755776948015_area_98_54.jpg,"[1920, 1080]",1.7777777777777777,98.0,[169.0],"[(275.5008, 697.49964)]",[269.0008],[690.99964],[282.0008],[703.99964],2025-08-21 07:49:08.015000-04:00,7
